"Category","SourceRoot","RelativePath","Extension","SizeKB","Width","Height"
"Audio.SFX","Unknown","unity\Assets\Audio\Sounds\busy-town-square-48608.ogg",".ogg","6690.5",,
"Animations","Unknown","unity\Assets\Plugins\New Animation.anim",".anim","5752.25",,
